Company_Brand,Distinct_Result,%_Frequency,Shelves,Acum_Shelf,N°_of_Shelf_f_prev,N°_of_Shelf_f,N°_of_Shelf_i,Shelf_classification_letter
NIKE,33,0.0293461538461538,0.3228076923076918,0.3228076923076918,1.0,1.0,1.0,A
Coca-Cola,32,0.1280384615384615,1.4084230769230763,1.731230769230768,2.0,2.0,1.0,A
PepsiCo,26,0.3188846153846154,3.5077307692307693,5.238961538461537,6.0,6.0,2.0,B
Gap,25,0.0399615384615384,0.4395769230769224,5.67853846153846,6.0,7.0,6.0,C
361 Du KIDS,25,0.0297692307692307,0.3274615384615377,6.005999999999998,7.0,7.0,6.0,C
Shunchen Sports Jia,22,0.0890384615384615,0.9794230769230764,6.985423076923074,7.0,7.0,7.0,D
H&M,17,0.0473461538461538,0.5208076923076919,7.506230769230766,8.0,8.0,7.0,D
Zara,15,0.0763461538461538,0.8398076923076918,8.346038461538457,9.0,9.0,8.0,E
Uniqlo,13,0.0813461538461538,0.8948076923076919,9.24084615384615,10.0,10.0,9.0,F
Pringles,12,0.1599230769230769,1.7591538461538458,10.999999999999996,11.0,11.0,10.0,G
