ID_order,Company_Brand,Income,Time_start,Time_finish,Priority,Perishable,Fragile,Weight,Time_spent,Time_priority,Count,Shelf_Cluster
1,Pringles,23.89,2024-02-01 09:05:00,2024-02-06 17:25:00,1,1,1,9,462000.0,2.1644974794426853e-06,323,3
2,Pringles,17.03,2024-02-01 09:31:00,2024-02-04 09:59:00,1,1,1,3,260880.0,3.83316531292045e-06,323,3
3,PepsiCo,29.52,2024-02-01 12:08:00,2024-02-06 20:02:00,1,1,0,14,460440.0,2.1718309186193236e-06,626,2
4,PepsiCo,10.5,2024-02-01 12:22:00,2024-02-05 20:10:00,0,1,0,21,373680.0,2.6760793296956495e-06,626,2
5,PepsiCo,22.51,2024-02-01 15:32:00,2024-02-03 01:23:00,1,1,1,18,121860.0,8.206070851215729e-06,626,2
6,361 Du KIDS,52.77,2024-02-01 15:36:00,2024-02-07 07:08:00,0,0,1,4,487920.0,2.0495121136413478e-06,58,4
7,Coca-Cola,18.57,2024-02-01 18:00:00,2024-02-07 23:06:00,0,1,0,11,536760.0,1.8630265611696826e-06,264,3
8,Uniqlo,113.3,2024-02-01 18:08:00,2024-02-06 18:06:00,1,0,0,18,431880.0,2.315452636258599e-06,158,1
9,Shunchen Sports Jia,57.51,2024-02-01 19:11:00,2024-02-02 10:59:00,1,0,1,9,56880.0,1.7580562929625007e-05,185,8
10,PepsiCo,27.44,2024-02-01 20:39:00,2024-02-04 14:10:00,0,1,0,10,235860.0,4.239785297272546e-06,626,2
11,361 Du KIDS,65.95,2024-02-01 21:01:00,2024-02-06 11:37:00,1,0,1,14,398160.0,2.511546836581182e-06,58,4
12,Pringles,23.03,2024-02-01 22:06:00,2024-02-03 21:10:00,1,1,0,12,169440.0,5.901759314451638e-06,323,3
13,Uniqlo,180.82,2024-02-02 01:44:00,2024-02-04 14:03:00,0,0,0,3,217140.0,4.6053025453507165e-06,158,9
14,Pringles,22.82,2024-02-02 02:19:00,2024-02-08 11:15:00,0,1,0,19,550560.0,1.8163291624361332e-06,323,3
15,NIKE,101.7,2024-02-02 03:10:00,2024-02-04 14:38:00,1,0,1,7,214080.0,4.671129152049925e-06,60,1
16,Pringles,20.15,2024-02-02 03:45:00,2024-02-07 01:58:00,0,1,1,15,425580.0,2.3497289587646064e-06,323,3
17,Pringles,29.11,2024-02-02 05:26:00,2024-02-07 18:21:00,1,1,0,7,478500.0,2.0898597913066014e-06,323,3
