ID_order,Company_Brand,Income,Time_start,Time_finish,Priority,Perishable,Fragile,Weight
1,Pringles,23.89,2/1/2024 9:05,2/6/2024 17:25,1,1,1,9
2,Pringles,17.03,2/1/2024 9:31,2/4/2024 9:59,1,1,1,3
3,PepsiCo,29.52,2/1/2024 12:08,2/6/2024 20:02,1,1,0,14
4,PepsiCo,10.5,2/1/2024 12:22,2/5/2024 20:10,0,1,0,21
5,PepsiCo,22.51,2/1/2024 15:32,2/3/2024 1:23,1,1,1,18
6,361 Du KIDS,52.77,2/1/2024 15:36,2/7/2024 7:08,0,0,1,4
7,Coca-Cola,18.57,2/1/2024 18:00,2/7/2024 23:06,0,1,0,11
8,Uniqlo,113.3,2/1/2024 18:08,2/6/2024 18:06,1,0,0,18
9,Shunchen Sports Jia,57.51,2/1/2024 19:11,2/2/2024 10:59,1,0,1,9
10,PepsiCo,27.44,2/1/2024 20:39,2/4/2024 14:10,0,1,0,10
11,361 Du KIDS,65.95,2/1/2024 21:01,2/6/2024 11:37,1,0,1,14
12,Pringles,23.03,2/1/2024 22:06,2/3/2024 21:10,1,1,0,12
13,Uniqlo,180.82,2/2/2024 1:44,2/4/2024 14:03,0,0,0,3
14,Pringles,22.82,2/2/2024 2:19,2/8/2024 11:15,0,1,0,19
15,NIKE,101.7,2/2/2024 3:10,2/4/2024 14:38,1,0,1,7
16,Pringles,20.15,2/2/2024 3:45,2/7/2024 1:58,0,1,1,15
17,Pringles,29.11,2/2/2024 5:26,2/7/2024 18:21,1,1,0,7
18,Uniqlo,160.35,2/2/2024 5:31,2/6/2024 15:43,1,0,1,4
19,Pringles,25.14,2/2/2024 6:35,2/5/2024 0:04,1,1,0,16
20,361 Du KIDS,43.55,2/2/2024 6:43,2/4/2024 6:34,0,0,0,8
21,PepsiCo,9.05,2/2/2024 6:56,2/7/2024 11:57,0,1,1,14
22,Shunchen Sports Jia,64.88,2/2/2024 7:10,2/3/2024 23:16,0,0,0,5
23,PepsiCo,30.27,2/2/2024 7:38,2/8/2024 6:08,1,1,1,2
24,Uniqlo,188.02,2/2/2024 7:42,2/6/2024 16:24,1,0,0,16
25,PepsiCo,11.02,2/2/2024 9:09,2/4/2024 14:12,0,1,1,19
26,PepsiCo,22.23,2/2/2024 9:13,2/3/2024 19:05,1,1,1,12
27,Coca-Cola,23.39,2/2/2024 9:50,2/5/2024 17:10,0,1,0,11
28,Zara,88.93,2/2/2024 11:50,2/4/2024 13:12,0,0,0,13
29,Coca-Cola,12.64,2/2/2024 13:02,2/8/2024 20:53,0,1,1,19
30,361 Du KIDS,42.33,2/2/2024 13:52,2/6/2024 21:53,1,0,0,5
31,PepsiCo,16.25,2/2/2024 14:42,2/6/2024 6:42,0,1,0,21
32,PepsiCo,28.42,2/2/2024 15:13,2/6/2024 15:14,1,1,0,12
33,Pringles,11.76,2/2/2024 15:54,2/7/2024 2:56,0,1,0,16
34,Coca-Cola,12.38,2/2/2024 17:12,2/4/2024 19:43,0,1,0,16
35,PepsiCo,8.99,2/2/2024 17:44,2/8/2024 15:10,0,1,1,17
36,Uniqlo,104.97,2/2/2024 18:15,2/8/2024 19:14,1,0,0,2
37,Zara,87.74,2/2/2024 18:29,2/5/2024 18:20,0,0,1,5
38,PepsiCo,12.37,2/2/2024 19:06,2/9/2024 1:13,0,1,0,14
39,PepsiCo,22.24,2/2/2024 19:34,2/8/2024 21:09,0,1,0,17
40,PepsiCo,33.26,2/2/2024 20:47,2/3/2024 17:51,0,1,1,14
41,Gap,119.6,2/2/2024 20:53,2/5/2024 18:42,0,0,1,9
42,PepsiCo,13.18,2/2/2024 21:30,2/7/2024 23:59,0,1,0,4
43,Pringles,12.2,2/2/2024 22:08,2/8/2024 2:17,1,1,0,14
44,Zara,89.16,2/2/2024 22:26,2/3/2024 13:19,0,0,0,4
45,PepsiCo,12.52,2/2/2024 22:47,2/9/2024 3:25,1,1,1,2
46,PepsiCo,27.4,2/2/2024 23:45,2/4/2024 23:25,0,1,1,11
47,Pringles,27.66,2/3/2024 0:56,2/6/2024 9:46,0,1,1,11
48,Uniqlo,180.22,2/3/2024 1:48,2/9/2024 11:25,0,0,0,15
49,Pringles,14.22,2/3/2024 2:20,2/7/2024 9:10,0,1,1,15
50,PepsiCo,13.24,2/3/2024 2:40,2/9/2024 5:35,0,1,0,5
51,Zara,63.76,2/3/2024 3:51,2/5/2024 21:54,0,0,0,7
52,Uniqlo,155.83,2/3/2024 4:34,2/6/2024 9:17,1,0,0,15
53,361 Du KIDS,64.99,2/3/2024 4:37,2/4/2024 0:36,0,0,1,16
54,Pringles,12.52,2/3/2024 4:44,2/4/2024 19:55,0,1,0,3
55,Zara,101.42,2/3/2024 5:08,2/9/2024 2:19,1,0,1,4
56,PepsiCo,9.73,2/3/2024 5:10,2/5/2024 13:46,0,1,1,13
57,Zara,137.55,2/3/2024 8:10,2/8/2024 5:34,0,0,1,6
58,PepsiCo,18.79,2/3/2024 9:37,2/9/2024 14:30,1,1,0,12
59,Pringles,27.48,2/3/2024 10:56,2/8/2024 22:35,0,1,0,6
60,Coca-Cola,18.45,2/3/2024 10:58,2/9/2024 6:24,1,1,1,8
61,Uniqlo,147.59,2/3/2024 11:17,2/7/2024 21:44,1,0,1,9
62,Zara,74.93,2/3/2024 12:00,2/4/2024 12:59,0,0,0,11
63,Coca-Cola,13.24,2/3/2024 17:03,2/9/2024 13:58,0,1,0,15
64,Gap,142.89,2/3/2024 17:23,2/9/2024 22:57,1,0,0,15
65,Pringles,24.29,2/3/2024 17:24,2/5/2024 6:59,1,1,1,9
66,Shunchen Sports Jia,63.66,2/3/2024 17:50,2/6/2024 0:46,1,0,1,9
67,Zara,145.4,2/3/2024 19:01,2/7/2024 4:18,0,0,0,20
68,PepsiCo,14.66,2/3/2024 19:10,2/9/2024 1:29,0,1,1,18
69,Pringles,23.14,2/3/2024 19:33,2/9/2024 12:16,1,1,0,4
70,Coca-Cola,21.45,2/3/2024 20:07,2/9/2024 22:30,1,1,1,4
71,Coca-Cola,15.71,2/3/2024 21:20,2/8/2024 18:04,0,1,0,20
72,NIKE,183.36,2/4/2024 0:24,2/4/2024 21:30,1,0,0,11
73,Coca-Cola,15.06,2/4/2024 1:22,2/8/2024 23:32,1,1,1,20
74,Pringles,17.02,2/4/2024 2:01,2/9/2024 11:30,1,1,0,13
75,PepsiCo,26.03,2/4/2024 3:21,2/10/2024 4:12,1,1,0,15
76,Shunchen Sports Jia,58.04,2/4/2024 3:33,2/8/2024 17:07,0,0,0,12
77,Coca-Cola,9.79,2/4/2024 4:33,2/5/2024 16:42,1,1,0,5
78,Zara,148.83,2/4/2024 4:58,2/10/2024 3:17,0,0,0,12
79,Pringles,15.84,2/4/2024 7:25,2/6/2024 12:17,0,1,1,3
80,361 Du KIDS,60.0,2/4/2024 7:47,2/9/2024 8:30,1,0,1,8
81,Pringles,25.87,2/4/2024 8:01,2/7/2024 7:30,0,1,0,14
82,H&M,136.78,2/4/2024 8:30,2/10/2024 17:41,1,0,1,1
83,PepsiCo,17.81,2/4/2024 8:36,2/6/2024 9:44,0,1,1,4
84,Pringles,10.73,2/4/2024 9:23,2/9/2024 19:13,1,1,1,14
85,Zara,114.94,2/4/2024 11:00,2/10/2024 13:46,1,0,1,2
86,PepsiCo,8.69,2/4/2024 11:01,2/7/2024 12:12,1,1,0,6
87,Pringles,20.2,2/4/2024 11:01,2/6/2024 10:47,1,1,0,1
88,Uniqlo,144.97,2/4/2024 11:21,2/9/2024 18:02,1,0,0,19
89,PepsiCo,14.78,2/4/2024 12:34,2/5/2024 14:58,1,1,1,14
90,PepsiCo,22.81,2/4/2024 13:01,2/7/2024 12:31,0,1,0,9
91,Zara,121.35,2/4/2024 13:38,2/6/2024 22:04,0,0,0,8
92,Zara,73.94,2/4/2024 15:31,2/5/2024 11:23,0,0,1,15
93,Shunchen Sports Jia,69.58,2/4/2024 16:28,2/10/2024 2:30,0,0,1,10
94,Shunchen Sports Jia,77.24,2/4/2024 17:34,2/6/2024 18:20,1,0,1,3
95,Gap,121.11,2/4/2024 17:54,2/5/2024 4:28,0,0,1,2
96,Pringles,20.95,2/4/2024 19:08,2/6/2024 6:28,0,1,0,1
97,PepsiCo,17.83,2/4/2024 19:24,2/8/2024 5:13,1,1,1,19
98,Pringles,10.77,2/4/2024 19:41,2/6/2024 6:06,0,1,1,11
99,H&M,105.39,2/4/2024 20:05,2/10/2024 4:52,1,0,0,15
100,Shunchen Sports Jia,53.64,2/4/2024 21:09,2/10/2024 9:07,0,0,0,16
101,PepsiCo,20.35,2/4/2024 21:22,2/8/2024 2:09,0,1,1,2
102,Shunchen Sports Jia,60.16,2/4/2024 23:50,2/7/2024 10:36,0,0,0,3
103,Shunchen Sports Jia,72.58,2/5/2024 0:16,2/9/2024 18:43,0,0,1,9
104,H&M,111.24,2/5/2024 1:03,2/11/2024 1:52,1,0,1,18
105,PepsiCo,31.45,2/5/2024 1:06,2/8/2024 4:05,1,1,1,5
106,Coca-Cola,20.07,2/5/2024 1:38,2/9/2024 6:30,1,1,1,12
107,Pringles,14.99,2/5/2024 3:41,2/10/2024 21:43,0,1,0,13
108,PepsiCo,21.87,2/5/2024 4:17,2/6/2024 11:41,0,1,0,9
109,PepsiCo,22.13,2/5/2024 4:53,2/7/2024 8:52,1,1,1,14
110,NIKE,211.97,2/5/2024 9:03,2/6/2024 4:03,1,0,1,12
111,Shunchen Sports Jia,79.95,2/5/2024 9:28,2/7/2024 6:57,0,0,0,5
112,PepsiCo,21.9,2/5/2024 9:42,2/11/2024 6:54,0,1,1,6
113,H&M,126.65,2/5/2024 9:44,2/8/2024 23:41,0,0,1,13
114,PepsiCo,22.04,2/5/2024 9:59,2/7/2024 17:17,1,1,0,20
115,PepsiCo,25.24,2/5/2024 12:21,2/8/2024 19:16,0,1,0,8
116,Pringles,17.86,2/5/2024 14:20,2/6/2024 7:42,1,1,0,6
117,Pringles,15.87,2/5/2024 14:22,2/11/2024 2:38,0,1,0,21
118,Pringles,29.6,2/5/2024 15:19,2/7/2024 9:25,1,1,1,8
119,PepsiCo,14.01,2/5/2024 15:32,2/11/2024 22:04,1,1,0,9
120,Pringles,23.94,2/5/2024 16:14,2/7/2024 0:58,0,1,1,15
121,Pringles,28.27,2/5/2024 16:44,2/6/2024 20:09,1,1,1,20
122,Shunchen Sports Jia,58.75,2/5/2024 17:00,2/10/2024 0:44,0,0,0,3
123,Coca-Cola,18.57,2/5/2024 17:10,2/12/2024 1:58,0,1,1,21
124,H&M,135.58,2/5/2024 17:16,2/10/2024 2:57,0,0,1,14
125,Shunchen Sports Jia,67.4,2/5/2024 17:44,2/9/2024 13:46,1,0,0,9
126,Uniqlo,183.74,2/5/2024 17:58,2/6/2024 23:10,1,0,1,4
127,Uniqlo,141.9,2/5/2024 18:35,2/10/2024 4:45,1,0,0,11
128,PepsiCo,31.83,2/5/2024 20:12,2/9/2024 0:54,0,1,1,15
129,Uniqlo,177.9,2/5/2024 20:41,2/6/2024 18:31,0,0,0,19
130,PepsiCo,25.96,2/5/2024 21:02,2/9/2024 20:58,1,1,1,10
131,Uniqlo,197.67,2/5/2024 21:04,2/10/2024 10:09,1,0,0,12
132,Gap,133.23,2/5/2024 21:17,2/10/2024 23:12,1,0,1,5
133,Coca-Cola,17.36,2/5/2024 22:34,2/11/2024 19:18,0,1,1,3
134,PepsiCo,31.85,2/5/2024 22:40,2/6/2024 10:37,0,1,0,19
135,Zara,64.39,2/6/2024 1:17,2/11/2024 23:03,1,0,0,16
136,PepsiCo,24.38,2/6/2024 2:25,2/7/2024 6:40,0,1,1,11
137,Coca-Cola,20.66,2/6/2024 2:37,2/9/2024 9:28,0,1,1,13
138,PepsiCo,24.26,2/6/2024 4:11,2/7/2024 22:25,1,1,1,4
139,H&M,90.95,2/6/2024 4:29,2/11/2024 15:28,0,0,1,20
140,Coca-Cola,18.07,2/6/2024 4:56,2/8/2024 17:21,1,1,0,10
141,PepsiCo,10.3,2/6/2024 6:11,2/6/2024 22:03,1,1,1,11
142,PepsiCo,15.57,2/6/2024 6:55,2/7/2024 13:52,0,1,0,5
143,PepsiCo,7.78,2/6/2024 7:25,2/8/2024 18:17,0,1,0,15
144,Zara,60.26,2/6/2024 7:42,2/11/2024 1:46,1,0,1,10
145,PepsiCo,33.5,2/6/2024 9:01,2/8/2024 15:08,0,1,1,15
146,Uniqlo,170.2,2/6/2024 9:17,2/7/2024 11:50,1,0,1,12
147,Zara,73.24,2/6/2024 9:19,2/8/2024 13:11,1,0,0,7
148,Shunchen Sports Jia,68.67,2/6/2024 11:00,2/7/2024 10:05,0,0,1,16
149,PepsiCo,31.66,2/6/2024 11:06,2/10/2024 10:22,1,1,1,11
150,Gap,101.2,2/6/2024 11:19,2/7/2024 10:12,1,0,0,11
151,PepsiCo,11.74,2/6/2024 11:27,2/7/2024 18:23,0,1,1,8
152,Shunchen Sports Jia,61.72,2/6/2024 11:40,2/11/2024 17:52,0,0,0,18
153,Shunchen Sports Jia,61.48,2/6/2024 11:41,2/12/2024 7:25,0,0,1,2
154,Pringles,15.29,2/6/2024 12:20,2/8/2024 7:00,1,1,0,19
155,PepsiCo,26.94,2/6/2024 12:45,2/10/2024 12:31,1,1,0,1
156,PepsiCo,32.0,2/6/2024 12:55,2/7/2024 18:06,0,1,1,16
157,Coca-Cola,10.84,2/6/2024 14:21,2/12/2024 16:18,0,1,0,11
158,Coca-Cola,24.08,2/6/2024 14:33,2/8/2024 11:31,0,1,0,10
159,PepsiCo,18.92,2/6/2024 16:34,2/11/2024 14:23,1,1,1,3
160,PepsiCo,13.89,2/6/2024 16:43,2/9/2024 20:37,0,1,0,17
161,H&M,129.13,2/6/2024 17:07,2/10/2024 13:44,1,0,1,17
162,PepsiCo,28.47,2/6/2024 17:51,2/10/2024 12:28,0,1,0,6
163,Gap,134.87,2/6/2024 17:59,2/10/2024 12:17,1,0,0,17
164,PepsiCo,22.9,2/6/2024 18:02,2/7/2024 17:49,0,1,1,21
165,NIKE,226.0,2/6/2024 19:15,2/7/2024 7:55,0,0,0,12
166,PepsiCo,22.37,2/6/2024 19:18,2/8/2024 10:33,0,1,1,13
167,Uniqlo,142.7,2/6/2024 20:04,2/10/2024 0:08,0,0,0,8
168,361 Du KIDS,58.13,2/6/2024 20:17,2/7/2024 20:56,0,0,1,8
169,H&M,98.6,2/6/2024 20:25,2/8/2024 1:39,0,0,1,3
170,PepsiCo,16.15,2/6/2024 23:35,2/12/2024 23:03,0,1,1,17
171,Pringles,15.04,2/7/2024 0:39,2/12/2024 12:24,0,1,0,10
172,Pringles,14.93,2/7/2024 1:19,2/10/2024 16:11,1,1,0,7
173,Uniqlo,149.55,2/7/2024 2:57,2/8/2024 3:49,0,0,0,17
174,PepsiCo,34.92,2/7/2024 3:06,2/12/2024 14:17,0,1,0,2
175,PepsiCo,13.99,2/7/2024 4:36,2/10/2024 22:18,0,1,1,17
176,Pringles,21.73,2/7/2024 4:53,2/8/2024 2:28,0,1,0,9
177,Uniqlo,177.59,2/7/2024 6:05,2/8/2024 13:31,0,0,0,5
178,PepsiCo,23.77,2/7/2024 7:04,2/9/2024 20:16,0,1,1,16
179,Coca-Cola,13.22,2/7/2024 7:23,2/8/2024 15:01,1,1,0,7
180,361 Du KIDS,74.69,2/7/2024 8:14,2/10/2024 6:35,1,0,0,10
